,open,high,low,close,volume
2019-07-08,124.98999786376953,125.2300033569336,124.63999938964844,124.8499984741211,3332000
2019-07-09,124.2699966430664,126.04000091552734,124.18000030517578,125.9000015258789,2237100
2019-07-10,126.69999694824219,128.4199981689453,126.69999694824219,126.88999938964844,2733800
2019-07-11,126.9800033569336,127.69000244140625,126.44000244140625,127.27999877929688,2928100
2019-07-12,127.55000305175781,128.0,126.87000274658203,127.95999908447266,1639400
2019-07-15,128.25,128.67999267578125,127.76000213623047,128.57000732421875,2355700
2019-07-16,129.22000122070312,129.33999633789062,127.80000305175781,128.05999755859375,2734000
2019-07-17,128.02000427246094,128.63999938964844,127.01000213623047,127.08000183105469,2248900
2019-07-18,126.69000244140625,129.08999633789062,126.66000366210938,128.39999389648438,3528400
2019-07-19,126.80000305175781,128.0,123.80000305175781,124.81999969482422,7819000
2019-07-22,124.75,126.01000213623047,124.69999694824219,126.0,4839700
2019-07-23,126.37999725341797,128.97999572753906,126.36000061035156,128.1999969482422,4055100
2019-07-24,127.70999908447266,128.22000122070312,126.79000091552734,127.94999694824219,3628300
2019-07-25,127.80999755859375,128.19000244140625,126.5,127.1500015258789,2663500
2019-07-26,127.08999633789062,127.55999755859375,126.30000305175781,126.77999877929688,4236200
2019-07-29,126.91000366210938,127.45999908447266,126.54000091552734,127.19000244140625,1829500
2019-07-30,126.56999969482422,126.91000366210938,126.30000305175781,126.47000122070312,1575400
2019-07-31,126.52999877929688,126.58999633789062,123.62000274658203,124.37000274658203,3221000
2019-08-01,123.7699966430664,126.12999725341797,123.5199966430664,124.08999633789062,4489800
2019-08-02,123.91999816894531,124.91000366210938,123.08000183105469,124.30999755859375,3268800
2019-08-05,122.45999908447266,123.08000183105469,120.16000366210938,120.72000122070312,5876200
2019-08-06,121.05999755859375,122.8499984741211,120.87000274658203,122.55000305175781,3497000
2019-08-07,120.91999816894531,123.8499984741211,120.22000122070312,123.54000091552734,3170800
2019-08-08,123.8499984741211,125.69999694824219,123.69999694824219,125.29000091552734,2976100
2019-08-09,125.58000183105469,126.73999786376953,124.72000122070312,126.16999816894531,2138300
2019-08-12,124.98999786376953,125.70999908447266,123.80000305175781,123.94999694824219,2638800
2019-08-13,123.86000061035156,126.5,122.51000213623047,126.31999969482422,3175700
2019-08-14,124.3499984741211,125.33000183105469,122.12999725341797,122.6500015258789,5626300
2019-08-15,122.6500015258789,123.0,121.13999938964844,122.37999725341797,3031700
2019-08-16,123.5,124.75,122.69000244140625,124.62999725341797,2343400
2019-08-19,126.0999984741211,126.1500015258789,124.33999633789062,124.4000015258789,3286700
2019-08-20,123.62999725341797,123.77999877929688,121.33999633789062,121.41999816894531,3641600
2019-08-21,122.5,123.05999755859375,121.98999786376953,122.5,2948300
2019-08-22,123.30999755859375,123.70999908447266,121.7699966430664,122.2699966430664,2322100
2019-08-23,122.0,122.05000305175781,117.05999755859375,117.76000213623047,4800400
2019-08-26,118.33000183105469,118.94000244140625,117.37999725341797,118.52999877929688,3170600
2019-08-27,119.08999633789062,119.33999633789062,116.8499984741211,117.75,3145800
2019-08-28,117.02999877929688,119.30999755859375,116.97000122070312,119.08999633789062,2327400
2019-08-29,120.45999908447266,121.19999694824219,119.95999908447266,120.73999786376953,1901300
2019-08-30,121.47000122070312,121.66000366210938,119.81999969482422,120.37000274658203,2366200
2019-09-03,119.86000061035156,120.27999877929688,117.5199966430664,117.5999984741211,3198700
2019-09-04,118.41999816894531,118.7300033569336,117.80000305175781,118.4000015258789,3746900
2019-09-05,119.5,121.62999725341797,119.5,120.66999816894531,5261100
2019-09-06,121.13999938964844,121.19000244140625,120.0,120.19000244140625,4552400
2019-09-09,121.20999908447266,121.41000366210938,119.5199966430664,119.91999816894531,5336000
2019-09-10,119.5999984741211,119.61000061035156,116.30000305175781,117.30999755859375,6196100
2019-09-11,117.12000274658203,118.0999984741211,116.75,118.0,3674400
2019-09-12,119.0,120.43000030517578,118.77999877929688,119.0199966430664,3733500
2019-09-13,119.23999786376953,119.97000122070312,118.29000091552734,119.19999694824219,3941100
2019-09-16,118.13999938964844,118.44000244140625,116.68000030517578,117.63999938964844,4280600
2019-09-17,117.9000015258789,119.12999725341797,117.5,119.05000305175781,3054700
2019-09-18,118.58999633789062,118.80000305175781,117.47000122070312,118.73999786376953,2844500
2019-09-19,118.61000061035156,119.5199966430664,117.5999984741211,117.79000091552734,1975800
